FullName,GenericName,Dosage
ETHCHLORVYNOL 200 MG CA,ETHCHLORVYNOL, 200 MG CA
ETHCHLORVYNOL 500 MG CA,ETHCHLORVYNOL, 500 MG CA
PENTOBARBITAL SODIUM 100 MG CA,PENTOBARBITAL SODIUM, 100 MG CA
PRAMOXINE HCL 1 % KA,PRAMOXINE HCL, 1 % KA
"DIAGNOSTIC AIDS, O.U.  YK","DIAGNOSTIC AIDS, O.U.  YK",
ERYTHROMYCIN LACTOBIONATE 500 MG IF,ERYTHROMYCIN LACTOBIONATE, 500 MG IF
ERYTHROMYCIN LACTOBIONATE 1 G HS,ERYTHROMYCIN LACTOBIONATE, 1 G HS
PENTOBARBITAL SODIUM 50 MG/ML HH,PENTOBARBITAL SODIUM, 50 MG/ML HH
ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5ML PD,ERYTHROMYCIN ETHYLSUCCINATE, 200 MG/5ML PD
ERYTHROMYCIN STEARATE 125 MG/5ML SC,ERYTHROMYCIN STEARATE, 125 MG/5ML SC
COLCHICINE 0.6 MG TA,COLCHICINE, 0.6 MG TA
ERYTHROMYCIN STEARATE 250 MG TA,ERYTHROMYCIN STEARATE, 250 MG TA
METHYCLOTHIAZIDE 5 MG TA,METHYCLOTHIAZIDE, 5 MG TA
NIACIN 50 MG TA,NIACIN, 50 MG TA
ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC,ERYTHROMYCIN ETHYLSUCCINATE, 200 MG TC
CARBACHOL 1.5 % SO,CARBACHOL, 1.5 % SO
CARBACHOL 3 % SO,CARBACHOL, 3 % SO
HOMATROPINE HBR 2 % SO,HOMATROPINE HBR, 2 % SO
HOMATROPINE HBR 5 % SO,HOMATROPINE HBR, 5 % SO
HYPROMELLOSE 0.5 % SO,HYPROMELLOSE, 0.5 % SO
HYPROMELLOSE 1 % SO,HYPROMELLOSE, 1 % SO
PILOCARPINE HCL 0.5 % SO,PILOCARPINE HCL, 0.5 % SO
PILOCARPINE HCL 1 % SO,PILOCARPINE HCL, 1 % SO
PILOCARPINE HCL 2 % SO,PILOCARPINE HCL, 2 % SO
PILOCARPINE HCL 4 % SO,PILOCARPINE HCL, 4 % SO
PILOCARPINE HCL 6 % SO,PILOCARPINE HCL, 6 % SO
SULFACETAMIDE SODIUM 10 % SO,SULFACETAMIDE SODIUM, 10 % SO
TROPICAMIDE 0.5 % SO,TROPICAMIDE, 0.5 % SO
MORPHINE SULFATE 100 % PA,MORPHINE SULFATE, 100 % PA
TROPICAMIDE 1 % SO,TROPICAMIDE, 1 % SO
CHLORAMPHENICOL 1 % OA,CHLORAMPHENICOL, 1 % OA
CHLORAMPHENICOL 0.5 % SO,CHLORAMPHENICOL, 0.5 % SO
EPINEPHRINE 0.5 % SO,EPINEPHRINE, 0.5 % SO
EPINEPHRINE 1 % SO,EPINEPHRINE, 1 % SO
EPINEPHRINE 2 % SO,EPINEPHRINE, 2 % SO
IDOXURIDINE 0.1 % SO,IDOXURIDINE, 0.1 % SO
NAPHAZOLINE HCL 0.1 % SO,NAPHAZOLINE HCL, 0.1 % SO
HYDROMORPHONE HCL 100 % PA,HYDROMORPHONE HCL, 100 % PA
PROPARACAINE HCL 0.5 % SO,PROPARACAINE HCL, 0.5 % SO
IDOXURIDINE 0.1 % SL,IDOXURIDINE, 0.1 % SL
LIDOCAINE HCL 2 % SJ,LIDOCAINE HCL, 2 % SJ
LIDOCAINE HCL 2 % II,LIDOCAINE HCL, 2 % II
LIDOCAINE HCL 10 % AS,LIDOCAINE HCL, 10 % AS
LIDOCAINE HCL/PF 5 MG/ML HV,LIDOCAINE HCL/PF, 5 MG/ML HV
LIDOCAINE HCL/PF 10 MG/ML HH,LIDOCAINE HCL/PF, 10 MG/ML HH
LIDOCAINE HCL 15 MG/ML HV,LIDOCAINE HCL, 15 MG/ML HV
LIDOCAINE HCL/EPINEPHRINE 0.5-1:100K HV,LIDOCAINE HCL/EPINEPHRINE, 0.5-1:100K HV
LIDOCAINE HCL/EPINEPHRINE BIT 1%-1:100K HV,LIDOCAINE HCL/EPINEPHRINE BIT, 1%-1:100K HV
LIDOCAINE HCL/EPINEPHRINE BIT 1 %-1:200K HV,LIDOCAINE HCL/EPINEPHRINE BIT, 1 %-1:200K HV
LIDOCAINE HCL/EPINEPHRINE/PF 1.5-1:200K HV,LIDOCAINE HCL/EPINEPHRINE/PF, 1.5-1:200K HV
LIDOCAINE HCL/EPINEPHRINE 2 %-1:100K HV,LIDOCAINE HCL/EPINEPHRINE, 2 %-1:100K HV
IRON SORBITEX 100 MG/2ML HH,IRON SORBITEX, 100 MG/2ML HH
LIDOCAINE HCL/PF 20 MG/ML HH,LIDOCAINE HCL/PF, 20 MG/ML HH
LIDOCAINE HCL/CETYLPYRIDINIUM  AS,LIDOCAINE HCL/CETYLPYRIDINIUM  AS,
LIDOCAINE 5 % OA,LIDOCAINE, 5 % OA
AMPICILLIN TRIHYDRATE 250 MG CA,AMPICILLIN TRIHYDRATE, 250 MG CA
AMPICILLIN TRIHYDRATE 500 MG CA,AMPICILLIN TRIHYDRATE, 500 MG CA
CLOFIBRATE 500 MG CA,CLOFIBRATE, 500 MG CA
CLOXACILLIN SODIUM 250 MG CA,CLOXACILLIN SODIUM, 250 MG CA
CLOXACILLIN SODIUM 500 MG CA,CLOXACILLIN SODIUM, 500 MG CA
"ESTROGENS, CONJUGATED 0.625 MG/G KW","ESTROGENS, CONJUGATED", 0.625 MG/G KW
AMPICILLIN SODIUM 125 MG HS,AMPICILLIN SODIUM, 125 MG HS
AMPICILLIN SODIUM 250 MG HS,AMPICILLIN SODIUM, 250 MG HS
AMPICILLIN SODIUM 500 MG HS,AMPICILLIN SODIUM, 500 MG HS
AMPICILLIN SODIUM 1 G HS,AMPICILLIN SODIUM, 1 G HS
AMPICILLIN SODIUM 2 G HS,AMPICILLIN SODIUM, 2 G HS
CARBENICILLIN DISODIUM 1 G HS,CARBENICILLIN DISODIUM, 1 G HS
CLOXACILLIN SODIUM 250 MG HS,CLOXACILLIN SODIUM, 250 MG HS
CLOXACILLIN SODIUM 500 MG HS,CLOXACILLIN SODIUM, 500 MG HS
CLOXACILLIN SODIUM 2 G HS,CLOXACILLIN SODIUM, 2 G HS
PENICILLIN G POTASSIUM 1MM UNIT HS,PENICILLIN G POTASSIUM, 1MM UNIT HS
PENICILLIN G POTASSIUM 5MM UNIT HS,PENICILLIN G POTASSIUM, 5MM UNIT HS
PENICILLIN G POTASSIUM 10MM UNIT HS,PENICILLIN G POTASSIUM, 10MM UNIT HS
PENICILLIN G SODIUM 1MM UNIT HS,PENICILLIN G SODIUM, 1MM UNIT HS
PENICILLIN G SODIUM 5MM UNIT HS,PENICILLIN G SODIUM, 5MM UNIT HS
PENICILLIN G SODIUM 10MM UNIT HS,PENICILLIN G SODIUM, 10MM UNIT HS
PRALIDOXIME CHLORIDE 1 G HS,PRALIDOXIME CHLORIDE, 1 G HS
"ESTROGENS, CONJUGATED 25 MG HS","ESTROGENS, CONJUGATED", 25 MG HS
"CHORIONIC GONADOTROPIN, HUMAN 10000 UNIT HS","CHORIONIC GONADOTROPIN, HUMAN", 10000 UNIT HS
PROPRANOLOL HCL 1 MG/ML HV,PROPRANOLOL HCL, 1 MG/ML HV
ECHOTHIOPHATE IODIDE 0.125 % SO,ECHOTHIOPHATE IODIDE, 0.125 % SO
ECHOTHIOPHATE IODIDE 0.25 % SO,ECHOTHIOPHATE IODIDE, 0.25 % SO
PENICILLIN G PROCAINE 300000/ML HV,PENICILLIN G PROCAINE, 300000/ML HV
AMPICILLIN TRIHYDRATE 125 MG/5ML PD,AMPICILLIN TRIHYDRATE, 125 MG/5ML PD
AMPICILLIN TRIHYDRATE 250 MG/5ML PD,AMPICILLIN TRIHYDRATE, 250 MG/5ML PD
CLOXACILLIN SODIUM 125 MG/5ML PI,CLOXACILLIN SODIUM, 125 MG/5ML PI
CROMOLYN SODIUM  PA,CROMOLYN SODIUM  PA,
