,FullDosage,MedName,Dosage/Concentration,Quantity
0,ETHCHLORVYNOL 200 MG CA,ETHCHLORVYNOL,200 MG CA,0
1,ETHCHLORVYNOL 500 MG CA,ETHCHLORVYNOL,500 MG CA,0
2,Unknown Generic Drug  ,Unknown,Generic Drug  ,0
5,PENTOBARBITAL SODIUM 100 MG CA,PENTOBARBITAL,SODIUM 100 MG CA,0
6,PRAMOXINE HCL 1 % KA,PRAMOXINE,HCL 1 % KA,0
7,"DIAGNOSTIC AIDS, O.U.  YK",DIAGNOSTIC,"AIDS, O.U.  YK",0
8,ERYTHROMYCIN LACTOBIONATE 500 MG IF,ERYTHROMYCIN,LACTOBIONATE 500 MG IF,0
38,ERYTHROMYCIN LACTOBIONATE 1 G HS,ERYTHROMYCIN,LACTOBIONATE 1 G HS,0
40,PENTOBARBITAL SODIUM 50 MG/ML HH,PENTOBARBITAL,SODIUM 50 MG/ML HH,0
42,ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5ML PD,ERYTHROMYCIN,ETHYLSUCCINATE 200 MG/5ML PD,0
43,ERYTHROMYCIN STEARATE 125 MG/5ML SC,ERYTHROMYCIN,STEARATE 125 MG/5ML SC,0
44,COLCHICINE 0.6 MG TA,COLCHICINE,0.6 MG TA,0
74,ERYTHROMYCIN STEARATE 250 MG TA,ERYTHROMYCIN,STEARATE 250 MG TA,0
76,METHYCLOTHIAZIDE 5 MG TA,METHYCLOTHIAZIDE,5 MG TA,0
77,NIACIN 50 MG TA,NIACIN,50 MG TA,0
82,ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC,ERYTHROMYCIN,ETHYLSUCCINATE 200 MG TC,0
119,CARBACHOL 1.5 % SO,CARBACHOL,1.5 % SO,0
120,CARBACHOL 3 % SO,CARBACHOL,3 % SO,0
123,HOMATROPINE HBR 2 % SO,HOMATROPINE,HBR 2 % SO,0
153,HOMATROPINE HBR 5 % SO,HOMATROPINE,HBR 5 % SO,0
183,HYPROMELLOSE 0.5 % SO,HYPROMELLOSE,0.5 % SO,0
195,HYPROMELLOSE 1 % SO,HYPROMELLOSE,1 % SO,0
207,PILOCARPINE HCL 0.5 % SO,PILOCARPINE,HCL 0.5 % SO,0
208,PILOCARPINE HCL 1 % SO,PILOCARPINE,HCL 1 % SO,0
238,PILOCARPINE HCL 2 % SO,PILOCARPINE,HCL 2 % SO,0
279,PILOCARPINE HCL 4 % SO,PILOCARPINE,HCL 4 % SO,0
319,PILOCARPINE HCL 6 % SO,PILOCARPINE,HCL 6 % SO,0
320,SULFACETAMIDE SODIUM 10 % SO,SULFACETAMIDE,SODIUM 10 % SO,0
321,TROPICAMIDE 0.5 % SO,TROPICAMIDE,0.5 % SO,0
361,MORPHINE SULFATE 100 % PA,MORPHINE,SULFATE 100 % PA,0
362,TROPICAMIDE 1 % SO,TROPICAMIDE,1 % SO,0
402,CHLORAMPHENICOL 1 % OA,CHLORAMPHENICOL,1 % OA,0
403,CHLORAMPHENICOL 0.5 % SO,CHLORAMPHENICOL,0.5 % SO,0
404,EPINEPHRINE 0.5 % SO,EPINEPHRINE,0.5 % SO,0
434,EPINEPHRINE 1 % SO,EPINEPHRINE,1 % SO,0
435,EPINEPHRINE 2 % SO,EPINEPHRINE,2 % SO,0
436,IDOXURIDINE 0.1 % SO,IDOXURIDINE,0.1 % SO,0
437,NAPHAZOLINE HCL 0.1 % SO,NAPHAZOLINE,HCL 0.1 % SO,0
445,HYDROMORPHONE HCL 100 % PA,HYDROMORPHONE,HCL 100 % PA,0
447,PROPARACAINE HCL 0.5 % SO,PROPARACAINE,HCL 0.5 % SO,0
450,IDOXURIDINE 0.1 % SL,IDOXURIDINE,0.1 % SL,0
460,LIDOCAINE HCL 2 % SJ,LIDOCAINE,HCL 2 % SJ,0
490,LIDOCAINE HCL 2 % II,LIDOCAINE,HCL 2 % II,0
498,LIDOCAINE HCL 10 % AS,LIDOCAINE,HCL 10 % AS,0
528,LIDOCAINE HCL/PF 5 MG/ML HV,LIDOCAINE,HCL/PF 5 MG/ML HV,0
529,LIDOCAINE HCL/PF 10 MG/ML HH,LIDOCAINE,HCL/PF 10 MG/ML HH,0
530,LIDOCAINE HCL 15 MG/ML HV,LIDOCAINE,HCL 15 MG/ML HV,0
531,LIDOCAINE HCL/EPINEPHRINE 0.5-1:100K HV,LIDOCAINE,HCL/EPINEPHRINE 0.5-1:100K HV,0
532,LIDOCAINE HCL/EPINEPHRINE BIT 1%-1:100K HV,LIDOCAINE,HCL/EPINEPHRINE BIT 1%-1:100K HV,0
533,LIDOCAINE HCL/EPINEPHRINE BIT 1 %-1:200K HV,LIDOCAINE,HCL/EPINEPHRINE BIT 1 %-1:200K HV,0
534,LIDOCAINE HCL/EPINEPHRINE/PF 1.5-1:200K HV,LIDOCAINE,HCL/EPINEPHRINE/PF 1.5-1:200K HV,0
535,LIDOCAINE HCL/EPINEPHRINE 2 %-1:100K HV,LIDOCAINE,HCL/EPINEPHRINE 2 %-1:100K HV,0
536,IRON SORBITEX 100 MG/2ML HH,IRON,SORBITEX 100 MG/2ML HH,0
566,LIDOCAINE HCL/PF 20 MG/ML HH,LIDOCAINE,HCL/PF 20 MG/ML HH,0
568,LIDOCAINE HCL/CETYLPYRIDINIUM  AS,LIDOCAINE,HCL/CETYLPYRIDINIUM  AS,0
598,LIDOCAINE 5 % OA,LIDOCAINE,5 % OA,0
599,AMPICILLIN TRIHYDRATE 250 MG CA,AMPICILLIN,TRIHYDRATE 250 MG CA,0
600,AMPICILLIN TRIHYDRATE 500 MG CA,AMPICILLIN,TRIHYDRATE 500 MG CA,0
601,CLOFIBRATE 500 MG CA,CLOFIBRATE,500 MG CA,0
602,CLOXACILLIN SODIUM 250 MG CA,CLOXACILLIN,SODIUM 250 MG CA,0
603,CLOXACILLIN SODIUM 500 MG CA,CLOXACILLIN,SODIUM 500 MG CA,0
604,"ESTROGENS, CONJUGATED 0.625 MG/G KW","ESTROGENS,",CONJUGATED 0.625 MG/G KW,0
605,AMPICILLIN SODIUM 125 MG HS,AMPICILLIN,SODIUM 125 MG HS,0
606,AMPICILLIN SODIUM 250 MG HS,AMPICILLIN,SODIUM 250 MG HS,0
607,AMPICILLIN SODIUM 500 MG HS,AMPICILLIN,SODIUM 500 MG HS,0
608,AMPICILLIN SODIUM 1 G HS,AMPICILLIN,SODIUM 1 G HS,0
609,AMPICILLIN SODIUM 2 G HS,AMPICILLIN,SODIUM 2 G HS,0
610,CARBENICILLIN DISODIUM 1 G HS,CARBENICILLIN,DISODIUM 1 G HS,0
