,DIN,FullName,GenericName,BrandName,Dosage,DosageForm
0,19,ETHCHLORVYNOL 200 MG CA,ETHCHLORVYNOL,Placidyl Cap, 200 MG CA,CAPSULE
1,27,ETHCHLORVYNOL 500 MG CA,ETHCHLORVYNOL,Placidyl Cap, 500 MG CA,CAPSULE
2,86,PENTOBARBITAL SODIUM 100 MG CA,PENTOBARBITAL SODIUM,Nembutal Sodium Cap, 100 MG CA,CAPSULE
3,116,PRAMOXINE HCL 1 % KA,PRAMOXINE HCL,Tronothane, 1 % KA,CREAM (G)
4,151,"DIAGNOSTIC AIDS, O.U.  YK","DIAGNOSTIC AIDS, O.U.  YK",Cytospray Kit,,KIT
5,175,ERYTHROMYCIN LACTOBIONATE 500 MG IF,ERYTHROMYCIN LACTOBIONATE,Erythrocin Iv, 500 MG IF,VIAL PORT
6,183,ERYTHROMYCIN LACTOBIONATE 1 G HS,ERYTHROMYCIN LACTOBIONATE,Erythrocin Iv, 1 G HS,VIAL
7,213,PENTOBARBITAL SODIUM 50 MG/ML HH,PENTOBARBITAL SODIUM,Nembutal Sodium Inj, 50 MG/ML HH,AMPUL
8,299,ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5ML PD,ERYTHROMYCIN ETHYLSUCCINATE,Ees-200, 200 MG/5ML PD,SUSP RECON
9,302,ERYTHROMYCIN STEARATE 125 MG/5ML SC,ERYTHROMYCIN STEARATE,Erythrocin Liquid, 125 MG/5ML SC,ORAL SUSP
10,396,COLCHICINE 0.6 MG TA,COLCHICINE,Colchicine Tab, 0.6 MG TA,TABLET
11,434,ERYTHROMYCIN STEARATE 250 MG TA,ERYTHROMYCIN STEARATE,Erythrocin Filmtab, 250 MG TA,TABLET
12,485,METHYCLOTHIAZIDE 5 MG TA,METHYCLOTHIAZIDE,Duretic, 5 MG TA,TABLET
13,493,NIACIN 50 MG TA,NIACIN,Niacin , 50 MG TA,TABLET
14,604,ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC,ERYTHROMYCIN ETHYLSUCCINATE,Ees-200 Chewable Tbs (Eryped), 200 MG TC,TAB CHEW
15,655,CARBACHOL 1.5 % SO,CARBACHOL,Isopto Carbachol, 1.5 % SO,DROPS
16,663,CARBACHOL 3 % SO,CARBACHOL,Isopto Carbachol, 3 % SO,DROPS
17,779,HOMATROPINE HBR 2 % SO,HOMATROPINE HBR,Isopto Homatropine, 2 % SO,DROPS
18,787,HOMATROPINE HBR 5 % SO,HOMATROPINE HBR,Isopto Homatropine, 5 % SO,DROPS
19,809,HYPROMELLOSE 0.5 % SO,HYPROMELLOSE,Isopto Tears, 0.5 % SO,DROPS
20,817,HYPROMELLOSE 1 % SO,HYPROMELLOSE,Isopto Tears, 1 % SO,DROPS
21,833,PILOCARPINE HCL 0.5 % SO,PILOCARPINE HCL,Isopto Carpine, 0.5 % SO,DROPS
22,841,PILOCARPINE HCL 1 % SO,PILOCARPINE HCL,Isopto Carpine, 1 % SO,DROPS
23,868,PILOCARPINE HCL 2 % SO,PILOCARPINE HCL,Isopto Carpine, 2 % SO,DROPS
24,884,PILOCARPINE HCL 4 % SO,PILOCARPINE HCL,Isopto Carpine, 4 % SO,DROPS
25,892,PILOCARPINE HCL 6 % SO,PILOCARPINE HCL,Isopto Carpine Liq, 6 % SO,DROPS
26,965,SULFACETAMIDE SODIUM 10 % SO,SULFACETAMIDE SODIUM,Isopto Cetamide Dps, 10 % SO,DROPS
27,981,TROPICAMIDE 0.5 % SO,TROPICAMIDE,Mydriacyl, 0.5 % SO,DROPS
28,1000,MORPHINE SULFATE 100 % PA,MORPHINE SULFATE,Morphine Sulfate Powder, 100 % PA,POWDER
29,1007,TROPICAMIDE 1 % SO,TROPICAMIDE,Mydriacyl, 1 % SO,DROPS
30,1058,CHLORAMPHENICOL 1 % OA,CHLORAMPHENICOL,Fenicol Ont, 1 % OA,OINT. (G)
31,1082,CHLORAMPHENICOL 0.5 % SO,CHLORAMPHENICOL,Chloroptic Dps, 0.5 % SO,DROPS
32,1090,EPINEPHRINE 0.5 % SO,EPINEPHRINE,Epifrin, 0.5 % SO,DROPS
33,1104,EPINEPHRINE 1 % SO,EPINEPHRINE,Epifrin, 1 % SO,DROPS
