DIN,FullName,GenericName,BrandName,Dosage,DosageForm
19,ETHCHLORVYNOL 200 MG CA,ETHCHLORVYNOL,Placidyl, 200 MG CA,CAPSULE
27,ETHCHLORVYNOL 500 MG CA,ETHCHLORVYNOL,Placidyl, 500 MG CA,CAPSULE
86,PENTOBARBITAL SODIUM 100 MG CA,PENTOBARBITAL SODIUM,Nembutal Sodium, 100 MG CA,CAPSULE
116,PRAMOXINE HCL 1 % KA,PRAMOXINE HCL,Tronothane, 1 % KA,CREAM (G)
151,"DIAGNOSTIC AIDS, O.U.  YK","DIAGNOSTIC AIDS, O.U.  YK",Cytospray Kit,,KIT
175,ERYTHROMYCIN LACTOBIONATE 500 MG IF,ERYTHROMYCIN LACTOBIONATE,Erythrocin, 500 MG IF,VIAL PORT
183,ERYTHROMYCIN LACTOBIONATE 1 G HS,ERYTHROMYCIN LACTOBIONATE,Erythrocin, 1 G HS,VIAL
213,PENTOBARBITAL SODIUM 50 MG/ML HH,PENTOBARBITAL SODIUM,Nembutal Sodium, 50 MG/ML HH,AMPUL
299,ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5ML PD,ERYTHROMYCIN ETHYLSUCCINATE,Ees-200, 200 MG/5ML PD,SUSP RECON
302,ERYTHROMYCIN STEARATE 125 MG/5ML SC,ERYTHROMYCIN STEARATE,Erythrocinuid, 125 MG/5ML SC,ORAL SUSP
396,COLCHICINE 0.6 MG TA,COLCHICINE,Colchicine, 0.6 MG TA,TABLET
434,ERYTHROMYCIN STEARATE 250 MG TA,ERYTHROMYCIN STEARATE,Erythrocin Filmtab, 250 MG TA,TABLET
485,METHYCLOTHIAZIDE 5 MG TA,METHYCLOTHIAZIDE,Duretic, 5 MG TA,TABLET
493,NIACIN 50 MG TA,NIACIN,Niacin , 50 MG TA,TABLET
604,ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC,ERYTHROMYCIN ETHYLSUCCINATE,Ees-200 Chewable Tbs (Eryped), 200 MG TC,TAB CHEW
655,CARBACHOL 1.5 % SO,CARBACHOL,Isopto Carbachol, 1.5 % SO,DROPS
663,CARBACHOL 3 % SO,CARBACHOL,Isopto Carbachol, 3 % SO,DROPS
779,HOMATROPINE HBR 2 % SO,HOMATROPINE HBR,Isopto Homatropine, 2 % SO,DROPS
787,HOMATROPINE HBR 5 % SO,HOMATROPINE HBR,Isopto Homatropine, 5 % SO,DROPS
809,HYPROMELLOSE 0.5 % SO,HYPROMELLOSE,Isopto Tears, 0.5 % SO,DROPS
817,HYPROMELLOSE 1 % SO,HYPROMELLOSE,Isopto Tears, 1 % SO,DROPS
833,PILOCARPINE HCL 0.5 % SO,PILOCARPINE HCL,Isopto Carpine, 0.5 % SO,DROPS
841,PILOCARPINE HCL 1 % SO,PILOCARPINE HCL,Isopto Carpine, 1 % SO,DROPS
